,timestamp,HRR_kWLastMinAve,HRR_kVAR,HRR_kW,primaryLovatoReadings.EqvPowerFactor,primaryLovatoReadings.EqvActivePower,primaryLovatoReadings.EqvReactivePower,primaryLovatoReadings.L1PhaseVoltage,primaryLovatoReadings.L2PhaseVoltage,primaryLovatoReadings.L3PhaseVoltage,HRR_WTCorrectedWindSpeed,primaryLovatoReadings.L1Current,primaryLovatoReadings.L2Current,primaryLovatoReadings.L3Current,HRR_GeneratorWindingTemp,HRR_NacelleAirTemp,HRR_OutsideAirTemp,HRR_GearboxOilTemp
4516,29:59.7,-2.08644325,1.761307776,-1.998801265,-5.958825786,-1.99621732,1.764667159,-1.99976665,-1.982463886,-1.935322014,-1.935440529,-1.885401537,-1.823995627,-1.82186764,-1.77892415,-0.218944037,-1.015822584,-1.88456217
4517,30:47.1,-2.064953567,2.034774582,-1.827743988,-0.500475908,-1.961263732,2.03805726,-1.907973672,-1.8704734,-1.801263795,-1.971570402,-1.820051404,-1.809103125,-1.815848389,-1.7977188,-0.269922385,-0.965927442,-1.905677136
4518,31:11.1,-2.043463885,2.246089842,-1.929563796,-3.279307068,-1.922245774,2.252068516,-1.932687166,-1.916099153,-2.009798802,-2.07996002,-1.823021865,-1.78229662,-1.779732886,-1.7977188,-0.269922385,-1.015822584,-1.926792101
4519,31:53.7,-2.004782456,1.462980351,-1.945854965,-3.644730843,-1.890543682,1.456639398,-1.87619918,-1.866325604,-1.786368438,-1.790921038,-1.831933246,-1.791232122,-1.788761762,-1.816513451,-0.269922385,-0.965927442,-1.926792101
4520,32:10.6,-1.98759071,2.27095046,-1.876617496,-2.519317644,-1.871847577,2.269387346,-1.823241692,-1.858030013,-1.766507961,-1.971570402,-1.769553574,-1.758468616,-1.749636633,-1.816513451,-0.269922385,-1.015822584,-1.947907067
4521,32:27.5,-1.996186583,1.798598704,-1.844035158,-0.46711613,-2.023448604,1.799304819,-2.024480144,-2.061272005,-1.875740583,-1.899310656,-1.834903707,-1.791232122,-1.782742511,-1.807116125,-0.320900733,-1.065717727,-1.905677136
4522,32:44.6,-2.009080392,2.034774582,-1.99065568,-4.98640743,-1.990527201,2.03805726,-2.003297149,-2.044680822,-1.885670822,-1.754791165,-1.787376338,-1.776339619,-1.761675134,-1.811814788,-0.320900733,-1.015822584,-1.947907067
4523,33:01.5,-1.983292773,2.208798914,-1.567085282,0.315880038,-1.852745035,2.213719678,-1.742040212,-1.862177808,-1.572868312,-1.68253142,-1.573503176,-1.603586591,-1.59915537,-1.821212113,-0.320900733,-0.965927442,-1.969022032
4524,33:18.7,-1.944611345,1.413259113,-1.831816781,-1.906571377,-1.834861804,1.413342323,-1.826772192,-1.990759477,-1.776438199,-1.42962231,-1.701232981,-1.701877107,-1.638280498,-1.816513451,-0.371879081,-1.015822584,-1.947907067
4525,33:35.5,-1.884440234,1.88561087,-1.868471911,-1.353642644,-1.863718836,1.885898969,-1.890321176,-2.011498456,-1.726787007,-1.574141801,-1.751730811,-1.725705111,-1.70750188,-1.816513451,-0.371879081,-0.965927442,-1.926792101
4526,33:52.6,-1.815673249,1.388398494,-1.65261392,0.266798985,-1.646681441,1.388601137,-2.042132639,-1.874621196,-1.607624147,-1.574141801,-1.674498836,-1.678049103,-1.788761762,-1.825910776,-0.575792472,-1.015822584,-1.947907067
4527,34:09.4,-1.764098011,1.413259113,-1.717778597,0.177456131,-1.712117809,1.410868204,-1.720857217,-1.775074097,-1.597693908,-1.465752183,-1.629941927,-1.639328597,-1.638280498,-1.821212113,-0.62677082,-1.015822584,-1.926792101
4528,34:26.3,-1.725416582,1.388398494,-1.632249958,0.29057262,-1.627172462,1.389838197,-1.83383319,-1.932690337,-1.721821888,-1.610271674,-1.674498836,-1.678049103,-1.677405627,-1.821212113,-0.677749168,-1.065717727,-1.947907067
4529,34:43.3,-1.734012455,1.438119732,-1.615958789,0.310895243,-1.866563895,1.433135271,-1.777345204,-1.79166528,-1.577833431,-1.574141801,-1.689351139,-1.686984605,-1.686434503,-1.821212113,-0.62677082,-1.065717727,-1.947907067
4530,35:00.0,-1.751204202,1.438119732,-1.534502943,0.339270227,-1.599941178,1.726318321,-1.600820246,-1.68382259,-1.473565928,-1.538011928,-1.511123504,-1.541038081,-1.54197249,-1.821212113,-0.677749168,-1.015822584,-1.947907067
4531,35:17.3,-1.807077376,1.773738085,-1.738142558,0.061655523,-1.731626789,1.784460107,-1.682021727,-1.754335118,-1.503356643,-1.68253142,-1.635882848,-1.645285598,-1.611193871,-1.816513451,-0.677749168,-1.065717727,-1.926792101
4532,35:34.5,-1.807077376,1.052780141,-1.530430151,0.335435769,-1.745852086,1.05706925,-1.805589197,-1.858030013,-1.607624147,-1.321232692,-1.742819429,-1.722726611,-1.728569256,-1.821212113,-0.62677082,-1.065717727,-1.947907067
4533,35:51.9,-1.772693884,1.388398494,-1.489702228,0.348089478,-1.485325925,1.381178782,-1.579637252,-1.692118182,-1.394124021,-1.501882056,-1.597266861,-1.621457594,-1.581097618,-1.825910776,-0.728727516,-0.965927442,-1.926792101
4534,36:08.8,-1.764098011,1.015489213,-1.583376451,0.258363179,-1.803159713,1.013772175,-1.530210264,-1.505467372,-1.6473451,-1.465752183,-1.662616993,-1.648264099,-1.59915537,-1.816513451,-0.62677082,-1.015822584,-1.947907067
4535,36:25.6,-1.738310392,1.388398494,-1.640395543,0.240724676,-1.636114078,1.384889959,-1.537271262,-1.505467372,-1.508321763,-1.538011928,-1.54082811,-1.546995082,-1.54197249,-1.821212113,-0.62677082,-1.015822584,-1.926792101
4536,36:42.6,-1.734012455,1.301386329,-1.738142558,-0.005830925,-1.734878285,1.295821691,-1.692613224,-1.588423287,-1.582798551,-1.393492437,-1.713114823,-1.695920106,-1.698473004,-1.816513451,-0.575792472,-1.065717727,-1.905677136
4537,36:59.4,-1.742608329,1.487840969,-1.620031582,0.306293894,-1.615385787,1.486328821,-1.484313775,-1.455693823,-1.423914736,-1.501882056,-1.600237321,-1.600608091,-1.60517462,-1.821212113,-0.62677082,-1.015822584,-1.905677136
